col_ID,temp,atemp,hum,windspeed,casual,registered,Target
A1,0.344167,0.363625,0.805833,0.160446,331,654,985
A2,0.363478,0.353739,0.696087,0.248539,131,670,801
A3,0.196364,0.189405,0.437273,0.248309,120,1229,1349
A4,0.2,0.212122,0.590435,0.160296,108,1454,1562
A5,0.226957,0.22927,0.436957,0.1869,82,1518,1600
A6,0.204348,0.233209,0.518261,0.0895652,88,1518,1606
A7,0.196522,0.208839,0.498696,0.168726,148,1362,1510
A8,0.165,0.162254,0.535833,0.266804,68,891,959
A9,0.138333,0.116175,0.434167,0.36195,54,768,822
A10,0.150833,0.150888,0.482917,0.223267,41,1280,1321
A11,0.169091,0.191464,0.686364,0.122132,43,1220,1263
A12,0.172727,0.160473,0.599545,0.304627,25,1137,1162
A13,0.165,0.150883,0.470417,0.301,38,1368,1406
A14,0.16087,0.188413,0.537826,0.126548,54,1367,1421
A15,0.233333,0.248112,0.49875,0.157963,222,1026,1248
A16,0.231667,0.234217,0.48375,0.188433,251,953,1204
A17,0.175833,0.176771,0.5375,0.194017,117,883,1000
A18,0.216667,0.232333,0.861667,0.146775,9,674,683
A19,0.292174,0.298422,0.741739,0.208317,78,1572,1650
A20,0.261667,0.25505,0.538333,0.195904,83,1844,1927
A21,0.1775,0.157833,0.457083,0.353242,75,1468,1543
A22,0.0591304,0.0790696,0.4,0.17197,93,888,981
A23,0.0965217,0.0988391,0.436522,0.2466,150,836,986
A24,0.0973913,0.11793,0.491739,0.15833,86,1330,1416
A25,0.223478,0.234526,0.616957,0.129796,186,1799,1985
A26,0.2175,0.2036,0.8625,0.29385,34,472,506
A27,0.195,0.2197,0.6875,0.113837,15,416,431
A28,0.203478,0.223317,0.793043,0.1233,38,1129,1167
A29,0.196522,0.212126,0.651739,0.145365,123,975,1098
A30,0.216522,0.250322,0.722174,0.0739826,140,956,1096
A31,0.180833,0.18625,0.60375,0.187192,42,1459,1501
A32,0.192174,0.23453,0.829565,0.053213,47,1313,1360
A33,0.26,0.254417,0.775417,0.264308,72,1454,1526
A34,0.186957,0.177878,0.437826,0.277752,61,1489,1550
A35,0.211304,0.228587,0.585217,0.127839,88,1620,1708
A36,0.233333,0.243058,0.929167,0.161079,100,905,1005
A37,0.285833,0.291671,0.568333,0.1418,354,1269,1623
A38,0.271667,0.303658,0.738333,0.0454083,120,1592,1712
A39,0.220833,0.198246,0.537917,0.36195,64,1466,1530
A40,0.134783,0.144283,0.494783,0.188839,53,1552,1605
A41,0.144348,0.149548,0.437391,0.221935,47,1491,1538
A42,0.189091,0.213509,0.506364,0.10855,149,1597,1746
A43,0.2225,0.232954,0.544167,0.203367,288,1184,1472
A44,0.316522,0.324113,0.457391,0.260883,397,1192,1589
A45,0.415,0.39835,0.375833,0.417908,208,1705,1913
A46,0.266087,0.254274,0.314348,0.291374,140,1675,1815
A47,0.318261,0.3162,0.423478,0.251791,218,1897,2115
A48,0.435833,0.428658,0.505,0.230104,259,2216,2475
A49,0.521667,0.511983,0.516667,0.264925,579,2348,2927
A50,0.399167,0.391404,0.187917,0.507463,532,1103,1635
A51,0.285217,0.27733,0.407826,0.223235,639,1173,1812
A52,0.303333,0.284075,0.605,0.307846,195,912,1107
A53,0.182222,0.186033,0.577778,0.195683,74,1376,1450
A54,0.221739,0.245717,0.423043,0.094113,139,1778,1917
A55,0.295652,0.289191,0.697391,0.250496,100,1707,1807
A56,0.364348,0.350461,0.712174,0.346539,120,1341,1461
A57,0.2825,0.282192,0.537917,0.186571,424,1545,1969
A58,0.343478,0.351109,0.68,0.125248,694,1708,2402
A59,0.407273,0.400118,0.876364,0.289686,81,1365,1446
A60,0.266667,0.263879,0.535,0.216425,137,1714,1851
A61,0.335,0.320071,0.449583,0.307833,231,1903,2134
A62,0.198333,0.200133,0.318333,0.225754,123,1562,1685
A63,0.261667,0.255679,0.610417,0.203346,214,1730,1944
A64,0.384167,0.378779,0.789167,0.251871,640,1437,2077
A65,0.376522,0.366252,0.948261,0.343287,114,491,605
A66,0.261739,0.238461,0.551304,0.341352,244,1628,1872
A67,0.2925,0.3024,0.420833,0.12065,316,1817,2133
A68,0.295833,0.286608,0.775417,0.22015,191,1700,1891
A69,0.389091,0.385668,0,0.261877,46,577,623
A70,0.316522,0.305,0.649565,0.23297,247,1730,1977
A71,0.329167,0.32575,0.594583,0.220775,724,1408,2132
A72,0.384348,0.380091,0.527391,0.270604,982,1435,2417
A73,0.325217,0.332,0.496957,0.136926,359,1687,2046
A74,0.317391,0.318178,0.655652,0.184309,289,1767,2056
A75,0.365217,0.36693,0.776522,0.203117,321,1871,2192
A76,0.415,0.410333,0.602917,0.209579,424,2320,2744
A77,0.54,0.527009,0.525217,0.231017,884,2355,3239
A78,0.4725,0.466525,0.379167,0.368167,1424,1693,3117
A79,0.3325,0.32575,0.47375,0.207721,1047,1424,2471
A80,0.430435,0.409735,0.737391,0.288783,401,1676,2077
A81,0.441667,0.440642,0.624583,0.22575,460,2243,2703
A82,0.346957,0.337939,0.839565,0.234261,203,1918,2121
A83,0.285,0.270833,0.805833,0.243787,166,1699,1865
A84,0.264167,0.256312,0.495,0.230725,300,1910,2210
A85,0.265833,0.257571,0.394167,0.209571,981,1515,2496
A86,0.253043,0.250339,0.493913,0.1843,472,1221,1693
A87,0.264348,0.257574,0.302174,0.212204,222,1806,2028
A88,0.3025,0.292908,0.314167,0.226996,317,2108,2425
A89,0.3,0.29735,0.646667,0.172888,168,1368,1536
A90,0.268333,0.257575,0.918333,0.217646,179,1506,1685
A91,0.3,0.283454,0.68625,0.258708,307,1920,2227
A92,0.315,0.315637,0.65375,0.197146,898,1354,2252
A93,0.378333,0.378767,0.48,0.182213,1651,1598,3249
A94,0.573333,0.542929,0.42625,0.385571,734,2381,3115
A95,0.414167,0.39835,0.642083,0.388067,167,1628,1795
A96,0.390833,0.387608,0.470833,0.263063,413,2395,2808
A97,0.4375,0.433696,0.602917,0.162312,571,2570,3141
A98,0.335833,0.324479,0.83625,0.226992,172,1299,1471
A99,0.3425,0.341529,0.8775,0.133083,879,1576,2455
A100,0.426667,0.426737,0.8575,0.146767,1188,1707,2895
A101,0.595652,0.565217,0.716956,0.324474,855,2493,3348
A102,0.5025,0.493054,0.739167,0.274879,257,1777,2034
A103,0.4125,0.417283,0.819167,0.250617,209,1953,2162
A104,0.4675,0.462742,0.540417,0.1107,529,2738,3267
A105,0.446667,0.441913,0.67125,0.226375,642,2484,3126
A106,0.430833,0.425492,0.888333,0.340808,121,674,795
A107,0.456667,0.445696,0.479583,0.303496,1558,2186,3744
A108,0.5125,0.503146,0.5425,0.163567,669,2760,3429
A109,0.505833,0.489258,0.665833,0.157971,409,2795,3204
A110,0.595,0.564392,0.614167,0.241925,613,3331,3944
A111,0.459167,0.453892,0.407083,0.325258,745,3444,4189
A112,0.336667,0.321954,0.729583,0.219521,177,1506,1683
A113,0.46,0.450121,0.887917,0.230725,1462,2574,4036
A114,0.581667,0.551763,0.810833,0.192175,1710,2481,4191
A115,0.606667,0.5745,0.776667,0.185333,773,3300,4073
A116,0.631667,0.594083,0.729167,0.3265,678,3722,4400
A117,0.62,0.575142,0.835417,0.3122,547,3325,3872
A118,0.6175,0.578929,0.700833,0.320908,569,3489,4058
A119,0.51,0.497463,0.457083,0.240063,878,3717,4595
A120,0.4725,0.464021,0.503333,0.235075,1965,3347,5312
A121,0.451667,0.448204,0.762083,0.106354,1138,2213,3351
A122,0.549167,0.532833,0.73,0.183454,847,3554,4401
A123,0.616667,0.582079,0.697083,0.342667,603,3848,4451
A124,0.414167,0.40465,0.737083,0.328996,255,2378,2633
A125,0.459167,0.441917,0.444167,0.295392,614,3819,4433
A126,0.479167,0.474117,0.59,0.228246,894,3714,4608
A127,0.52,0.512621,0.54125,0.16045,1612,3102,4714
A128,0.528333,0.518933,0.631667,0.0746375,1401,2932,4333
A129,0.5325,0.525246,0.58875,0.176,664,3698,4362
A130,0.5325,0.522721,0.489167,0.115671,694,4109,4803
A131,0.5425,0.5284,0.632917,0.120642,550,3632,4182
A132,0.535,0.523363,0.7475,0.189667,695,4169,4864
A133,0.5125,0.4943,0.863333,0.179725,692,3413,4105
A134,0.520833,0.500629,0.9225,0.13495,902,2507,3409
A135,0.5625,0.536,0.867083,0.152979,1582,2971,4553
A136,0.5775,0.550512,0.787917,0.126871,773,3185,3958
A137,0.561667,0.538529,0.837917,0.277354,678,3445,4123
A138,0.55,0.527158,0.87,0.201492,536,3319,3855
A139,0.530833,0.510742,0.829583,0.108213,735,3840,4575
A140,0.536667,0.529042,0.719583,0.125013,909,4008,4917
A141,0.6025,0.571975,0.626667,0.12065,2258,3547,5805
A142,0.604167,0.5745,0.749583,0.148008,1576,3084,4660
A143,0.631667,0.590296,0.81,0.233842,836,3438,4274
A144,0.66,0.604813,0.740833,0.207092,659,3833,4492
A145,0.660833,0.615542,0.69625,0.154233,740,4238,4978
A146,0.708333,0.654688,0.6775,0.199642,758,3919,4677
A147,0.681667,0.637008,0.65375,0.240679,871,3808,4679
A148,0.655833,0.612379,0.729583,0.230092,2001,2757,4758
A149,0.6675,0.61555,0.81875,0.213938,2355,2433,4788
A150,0.733333,0.671092,0.685,0.131225,1549,2549,4098
A151,0.775,0.725383,0.636667,0.111329,673,3309,3982
A152,0.764167,0.720967,0.677083,0.207092,513,3461,3974
A153,0.715,0.643942,0.305,0.292287,736,4232,4968
A154,0.62,0.587133,0.354167,0.253121,898,4414,5312
A155,0.635,0.594696,0.45625,0.123142,1869,3473,5342
A156,0.648333,0.616804,0.6525,0.138692,1685,3221,4906
A157,0.678333,0.621858,0.6,0.121896,673,3875,4548
A158,0.7075,0.65595,0.597917,0.187808,763,4070,4833
A159,0.775833,0.727279,0.622083,0.136817,676,3725,4401
A160,0.808333,0.757579,0.568333,0.149883,563,3352,3915
A161,0.755,0.703292,0.605,0.140554,815,3771,4586
A162,0.725,0.678038,0.654583,0.15485,1729,3237,4966
A163,0.6925,0.643325,0.747917,0.163567,1467,2993,4460
A164,0.635,0.601654,0.494583,0.30535,863,4157,5020
A165,0.604167,0.591546,0.507083,0.269283,727,4164,4891
A166,0.626667,0.587754,0.471667,0.167912,769,4411,5180
A167,0.628333,0.595346,0.688333,0.206471,545,3222,3767
A168,0.649167,0.600383,0.735833,0.143029,863,3981,4844
A169,0.696667,0.643954,0.670417,0.119408,1807,3312,5119
A170,0.699167,0.645846,0.666667,0.102,1639,3105,4744
A171,0.635,0.595346,0.74625,0.155475,699,3311,4010
A172,0.680833,0.637646,0.770417,0.171025,774,4061,4835
A173,0.733333,0.693829,0.7075,0.172262,661,3846,4507
A174,0.728333,0.693833,0.703333,0.238804,746,4044,4790
A175,0.724167,0.656583,0.573333,0.222025,969,4022,4991
A176,0.695,0.643313,0.483333,0.209571,1782,3420,5202
A177,0.68,0.637629,0.513333,0.0945333,1920,3385,5305
A178,0.6825,0.637004,0.658333,0.107588,854,3854,4708
A179,0.744167,0.692558,0.634167,0.144283,732,3916,4648
A180,0.728333,0.654688,0.497917,0.261821,848,4377,5225
A181,0.696667,0.637008,0.434167,0.185312,1027,4488,5515
A182,0.7225,0.652162,0.39625,0.102608,1246,4116,5362
A183,0.738333,0.667308,0.444583,0.115062,2204,2915,5119
A184,0.716667,0.668575,0.6825,0.228858,2282,2367,4649
A185,0.726667,0.665417,0.637917,0.0814792,3065,2978,6043
A186,0.746667,0.696338,0.590417,0.126258,1031,3634,4665
A187,0.72,0.685633,0.743333,0.149883,784,3845,4629
A188,0.75,0.686871,0.65125,0.1592,754,3838,4592
A189,0.709167,0.670483,0.757917,0.225129,692,3348,4040
A190,0.733333,0.664158,0.609167,0.167912,1988,3348,5336
A191,0.7475,0.690025,0.578333,0.183471,1743,3138,4881
A192,0.7625,0.729804,0.635833,0.282337,723,3363,4086
A193,0.794167,0.739275,0.559167,0.200254,662,3596,4258
A194,0.746667,0.689404,0.631667,0.146133,748,3594,4342
A195,0.680833,0.635104,0.47625,0.240667,888,4196,5084
A196,0.663333,0.624371,0.59125,0.182833,1318,4220,5538
A197,0.686667,0.638263,0.585,0.208342,2418,3505,5923
A198,0.719167,0.669833,0.604167,0.245033,2006,3296,5302
A199,0.746667,0.703925,0.65125,0.215804,841,3617,4458
A200,0.776667,0.747479,0.650417,0.1306,752,3789,4541
A201,0.768333,0.74685,0.707083,0.113817,644,3688,4332
A202,0.815,0.826371,0.69125,0.222021,632,3152,3784
A203,0.848333,0.840896,0.580417,0.1331,562,2825,3387
A204,0.849167,0.804287,0.5,0.131221,987,2298,3285
A205,0.83,0.794829,0.550833,0.169171,1050,2556,3606
A206,0.743333,0.720958,0.757083,0.0908083,568,3272,3840
A207,0.771667,0.696979,0.540833,0.200258,750,3840,4590
A208,0.775,0.690667,0.402917,0.183463,755,3901,4656
A209,0.779167,0.7399,0.583333,0.178479,606,3784,4390
A210,0.838333,0.785967,0.5425,0.174138,670,3176,3846
A211,0.804167,0.728537,0.465833,0.168537,1559,2916,4475
A212,0.805833,0.729796,0.480833,0.164813,1524,2778,4302
A213,0.771667,0.703292,0.550833,0.156717,729,3537,4266
A214,0.783333,0.707071,0.49125,0.20585,801,4044,4845
A215,0.731667,0.679937,0.6575,0.135583,467,3107,3574
A216,0.71,0.664788,0.7575,0.19715,799,3777,4576
A217,0.710833,0.656567,0.630833,0.184696,1023,3843,4866
A218,0.716667,0.676154,0.755,0.22825,1521,2773,4294
A219,0.7425,0.715292,0.752917,0.201487,1298,2487,3785
A220,0.765,0.703283,0.592083,0.192175,846,3480,4326
A221,0.775,0.724121,0.570417,0.151121,907,3695,4602
A222,0.766667,0.684983,0.424167,0.200258,884,3896,4780
A223,0.7175,0.651521,0.42375,0.164796,812,3980,4792
A224,0.708333,0.654042,0.415,0.125621,1051,3854,4905
A225,0.685833,0.645858,0.729583,0.211454,1504,2646,4150
A226,0.676667,0.624388,0.8175,0.222633,1338,2482,3820
A227,0.665833,0.616167,0.712083,0.208954,775,3563,4338
A228,0.700833,0.645837,0.578333,0.236329,721,4004,4725
A229,0.723333,0.666671,0.575417,0.143667,668,4026,4694
A230,0.711667,0.662258,0.654583,0.233208,639,3166,3805
A231,0.685,0.633221,0.722917,0.139308,797,3356,4153
A232,0.6975,0.648996,0.674167,0.104467,1914,3277,5191
A233,0.710833,0.675525,0.77,0.248754,1249,2624,3873
A234,0.691667,0.638254,0.47,0.27675,833,3925,4758
A235,0.640833,0.606067,0.455417,0.146763,1281,4614,5895
A236,0.673333,0.630692,0.605,0.253108,949,4181,5130
A237,0.684167,0.645854,0.771667,0.210833,435,3107,3542
A238,0.7,0.659733,0.76125,0.0839625,768,3893,4661
A239,0.68,0.635556,0.85,0.375617,226,889,1115
A240,0.707059,0.647959,0.561765,0.304659,1415,2919,4334
A241,0.636667,0.607958,0.554583,0.159825,729,3905,4634
A242,0.639167,0.594704,0.548333,0.125008,775,4429,5204
A243,0.656667,0.611121,0.597917,0.0833333,688,4370,5058
A244,0.655,0.614921,0.639167,0.141796,783,4332,5115
A245,0.643333,0.604808,0.727083,0.139929,875,3852,4727
A246,0.669167,0.633213,0.716667,0.185325,1935,2549,4484
A247,0.709167,0.665429,0.742083,0.206467,2521,2419,4940
A248,0.673333,0.625646,0.790417,0.212696,1236,2115,3351
A249,0.54,0.5152,0.886957,0.343943,204,2506,2710
A250,0.599167,0.544229,0.917083,0.0970208,118,1878,1996
A251,0.633913,0.555361,0.939565,0.192748,153,1689,1842
A252,0.65,0.578946,0.897917,0.124379,417,3127,3544
A253,0.66,0.607962,0.75375,0.153608,1750,3595,5345
A254,0.653333,0.609229,0.71375,0.115054,1633,3413,5046
A255,0.644348,0.60213,0.692174,0.088913,690,4023,4713
A256,0.650833,0.603554,0.7125,0.141804,701,4062,4763
A257,0.673333,0.6269,0.697083,0.1673,647,4138,4785
A258,0.5775,0.553671,0.709167,0.271146,428,3231,3659
A259,0.469167,0.461475,0.590417,0.164183,742,4018,4760
A260,0.491667,0.478512,0.718333,0.189675,1434,3077,4511
A261,0.5075,0.490537,0.695,0.178483,1353,2921,4274
A262,0.549167,0.529675,0.69,0.151742,691,3848,4539
A263,0.561667,0.532217,0.88125,0.134954,438,3203,3641
A264,0.595,0.550533,0.9,0.0964042,539,3813,4352
A265,0.628333,0.554963,0.902083,0.128125,555,4240,4795
A266,0.609167,0.522125,0.9725,0.0783667,258,2137,2395
A267,0.606667,0.564412,0.8625,0.0783833,1776,3647,5423
A268,0.634167,0.572637,0.845,0.0503792,1544,3466,5010
A269,0.649167,0.589042,0.848333,0.1107,684,3946,4630
A270,0.636667,0.574525,0.885417,0.118171,477,3643,4120
A271,0.635,0.575158,0.84875,0.148629,480,3427,3907
A272,0.616667,0.574512,0.699167,0.172883,653,4186,4839
A273,0.564167,0.544829,0.6475,0.206475,830,4372,5202
A274,0.41,0.412863,0.75375,0.292296,480,1949,2429
A275,0.356667,0.345317,0.791667,0.222013,616,2302,2918
A276,0.384167,0.392046,0.760833,0.0833458,330,3240,3570
A277,0.484167,0.472858,0.71,0.205854,486,3970,4456
A278,0.538333,0.527138,0.647917,0.17725,559,4267,4826
A279,0.494167,0.480425,0.620833,0.134954,639,4126,4765
A280,0.510833,0.504404,0.684167,0.0223917,949,4036,4985
A281,0.521667,0.513242,0.70125,0.0454042,2235,3174,5409
A282,0.540833,0.523983,0.7275,0.06345,2397,3114,5511
A283,0.570833,0.542925,0.73375,0.0423042,1514,3603,5117
A284,0.566667,0.546096,0.80875,0.143042,667,3896,4563
A285,0.543333,0.517717,0.90625,0.24815,217,2199,2416
A286,0.589167,0.551804,0.896667,0.141787,290,2623,2913
A287,0.550833,0.529675,0.71625,0.223883,529,3115,3644
A288,0.506667,0.498725,0.483333,0.258083,1899,3318,5217
A289,0.511667,0.503154,0.486667,0.281717,1748,3293,5041
A290,0.534167,0.510725,0.579583,0.175379,713,3857,4570
A291,0.5325,0.522721,0.701667,0.110087,637,4111,4748
A292,0.541739,0.513848,0.895217,0.243339,254,2170,2424
A293,0.475833,0.466525,0.63625,0.422275,471,3724,4195
A294,0.4275,0.423596,0.574167,0.221396,676,3628,4304
A295,0.4225,0.425492,0.629167,0.0926667,1499,2809,4308
A296,0.421667,0.422333,0.74125,0.0995125,1619,2762,4381
A297,0.463333,0.457067,0.772083,0.118792,699,3488,4187
A298,0.471667,0.463375,0.622917,0.166658,695,3992,4687
A299,0.484167,0.472846,0.720417,0.148642,404,3490,3894
A300,0.47,0.457046,0.812917,0.197763,240,2419,2659
A301,0.330833,0.318812,0.585833,0.229479,456,3291,3747
A302,0.254167,0.227913,0.8825,0.351371,57,570,627
A303,0.319167,0.321329,0.62375,0.176617,885,2446,3331
A304,0.34,0.356063,0.703333,0.10635,362,3307,3669
A305,0.400833,0.397088,0.68375,0.135571,410,3658,4068
A306,0.3775,0.390133,0.71875,0.0820917,370,3816,4186
A307,0.408333,0.405921,0.702083,0.136817,318,3656,3974
A308,0.403333,0.403392,0.6225,0.271779,470,3576,4046
A309,0.326667,0.323854,0.519167,0.189062,1156,2770,3926
A310,0.348333,0.362358,0.734583,0.0920542,952,2697,3649
A311,0.395,0.400871,0.75875,0.057225,373,3662,4035
A312,0.408333,0.412246,0.721667,0.0690375,376,3829,4205
A313,0.4,0.409079,0.758333,0.0621958,305,3804,4109
A314,0.38,0.373721,0.813333,0.189067,190,2743,2933
A315,0.324167,0.306817,0.44625,0.314675,440,2928,3368
A316,0.356667,0.357942,0.552917,0.212062,1275,2792,4067
A317,0.440833,0.43055,0.458333,0.281721,1004,2713,3717
A318,0.53,0.524612,0.587083,0.306596,595,3891,4486
A319,0.53,0.507579,0.68875,0.199633,449,3746,4195
A320,0.456667,0.451988,0.93,0.136829,145,1672,1817
A321,0.341667,0.323221,0.575833,0.305362,139,2914,3053
A322,0.274167,0.272721,0.41,0.168533,245,3147,3392
A323,0.329167,0.324483,0.502083,0.224496,943,2720,3663
A324,0.463333,0.457058,0.684583,0.18595,787,2733,3520
A325,0.4475,0.445062,0.91,0.138054,220,2545,2765
A326,0.416667,0.421696,0.9625,0.118792,69,1538,1607
A327,0.440833,0.430537,0.757917,0.335825,112,2454,2566
A328,0.373333,0.372471,0.549167,0.167304,560,935,1495
A329,0.375,0.380671,0.64375,0.0988958,1095,1697,2792
A330,0.375833,0.385087,0.681667,0.0684208,1249,1819,3068
A331,0.459167,0.4558,0.698333,0.208954,810,2261,3071
A332,0.503478,0.490122,0.743043,0.142122,253,3614,3867
A333,0.458333,0.451375,0.830833,0.258092,96,2818,2914
A334,0.325,0.311221,0.613333,0.271158,188,3425,3613
A335,0.3125,0.305554,0.524583,0.220158,182,3545,3727
A336,0.314167,0.331433,0.625833,0.100754,268,3672,3940
A337,0.299167,0.310604,0.612917,0.0957833,706,2908,3614
A338,0.330833,0.3491,0.775833,0.0839583,634,2851,3485
A339,0.385833,0.393925,0.827083,0.0622083,233,3578,3811
A340,0.4625,0.4564,0.949583,0.232583,126,2468,2594
A341,0.41,0.400246,0.970417,0.266175,50,655,705
A342,0.265833,0.256938,0.58,0.240058,150,3172,3322
A343,0.290833,0.317542,0.695833,0.0827167,261,3359,3620
A344,0.275,0.266412,0.5075,0.233221,502,2688,3190
A345,0.220833,0.253154,0.49,0.0665417,377,2366,2743
A346,0.238333,0.270196,0.670833,0.06345,143,3167,3310
A347,0.2825,0.301138,0.59,0.14055,155,3368,3523
A348,0.3175,0.338362,0.66375,0.0609583,178,3562,3740
A349,0.4225,0.412237,0.634167,0.268042,181,3528,3709
A350,0.375,0.359825,0.500417,0.260575,178,3399,3577
A351,0.258333,0.249371,0.560833,0.243167,275,2464,2739
A352,0.238333,0.245579,0.58625,0.169779,220,2211,2431
A353,0.276667,0.280933,0.6375,0.172896,260,3143,3403
A354,0.385833,0.396454,0.595417,0.0615708,216,3534,3750
A355,0.428333,0.428017,0.858333,0.2214,107,2553,2660
A356,0.423333,0.426121,0.7575,0.047275,227,2841,3068
A357,0.373333,0.377513,0.68625,0.274246,163,2046,2209
A358,0.3025,0.299242,0.5425,0.190304,155,856,1011
A359,0.274783,0.279961,0.681304,0.155091,303,451,754
A360,0.321739,0.315535,0.506957,0.239465,430,887,1317
A361,0.325,0.327633,0.7625,0.18845,103,1059,1162
A362,0.29913,0.279974,0.503913,0.293961,255,2047,2302
A363,0.248333,0.263892,0.574167,0.119412,254,2169,2423
A364,0.311667,0.318812,0.636667,0.134337,491,2508,2999
A365,0.41,0.414121,0.615833,0.220154,665,1820,2485
A366,0.37,0.375621,0.6925,0.192167,686,1608,2294
A367,0.273043,0.252304,0.381304,0.329665,244,1707,1951
